LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate,MatchType
3601217106,04/11/2020,1084,PPP,"OPHTHALMIC ASSOCIATES, A PROFESSIONAL CORPORATION",542 West 2nd Avenue,ANCHORAGE,AK,99501-2208,07/21/2021,Paid in Full,24,100,513900.0,513900.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,N,Unanswered,ANCHORAGE,ANCHORAGE,AK,99501-2208,AK-,34.0,621111.0,Unanswered,Unknown/NotStated,,513900.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,519926.01,06/28/2021,Ophthalm
2546057206,04/16/2020,1084,PPP,ALASKA RETINAL CONSULTANTS,5600 B Street,ANCHORAGE,AK,99518,01/08/2021,Paid in Full,24,100,328782.29,328782.29,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99518-0517,AK-,25.0,621111.0,Unanswered,Unknown/NotStated,,234725.0,,79677.29,,14380.0,,Partnership,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,330971.17,12/23/2020,Retina
4365777101,04/13/2020,459,PPP,RETINA CONSULTANTS OF ALABAMA PC,"700 SOUTH 19TH STREET, SUITE 707",BIRMINGHAM,AL,35233,01/26/2021,Paid in Full,24,100,706790.0,706790.0,0.0,,39848,Cadence Bank,201 S Spring St,TUPELO,MS,38804-4811,U,N,N,New Business or 2 years or less,BIRMINGHAM,JEFFERSON,AL,35233-1002,AL-07,64.0,621111.0,Unanswered,Unknown/NotStated,,706790.0,,,,,,Corporation,39848,Cadence Bank,TUPELO,MS,Unanswered,Unanswered,,711168.17,12/02/2020,Retina
7118827001,04/07/2020,459,PPP,"ALABAMA OPHTHALMOLOGY ASSOCIATES, PC",1000 19th Street S,BIRMINGHAM,AL,35205-4804,12/10/2020,Paid in Full,24,100,470800.0,470800.0,0.0,,434138,ServisFirst Bank,2500 Woodcrest Place,BIRMINGHAM,AL,35209-1374,U,Y,N,Existing or more than 2 years old,BIRMINGHAM,JEFFERSON,AL,35205-4804,AL-07,38.0,621111.0,Unanswered,Unknown/NotStated,5300.0,371700.0,,90000.0,,,3800.0,Corporation,434138,ServisFirst Bank,BIRMINGHAM,AL,Unanswered,Unanswered,,473664.03,11/19/2020,Ophthalm
5593957005,04/05/2020,459,PPP,RETINA SPECIALISTS OF NORTH ALABAMA LLC,401 MERIDIAN ST SUITE 400,HUNTSVILLE,AL,35801-4719,04/09/2021,Paid in Full,24,100,390000.0,390000.0,0.0,,434138,ServisFirst Bank,2500 Woodcrest Place,BIRMINGHAM,AL,35209-1374,U,N,N,Existing or more than 2 years old,HUNTSVILLE,MADISON,AL,35801-4719,AL-05,42.0,621111.0,Unanswered,Unknown/NotStated,,390000.0,,,,,,Limited  Liability Company(LLC),434138,ServisFirst Bank,BIRMINGHAM,AL,Unanswered,Unanswered,,393542.5,03/10/2021,Retina
8591567006,04/08/2020,459,PPP,"RETINA SPECIALISTS OF ALABAMA, LLC.",2101 Highland Avenue South Suite 360,BIRMINGHAM,AL,35205-4001,06/23/2021,Paid in Full,24,100,371601.65,371601.65,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,BIRMINGHAM,JEFFERSON,AL,35205-4001,AL-07,33.0,621111.0,Unanswered,Unknown/NotStated,46450.0,278701.0,46450.65,,,,,Limited  Liability Company(LLC),760,First Source Federal Credit Union,Rome,NY,Unanswered,Unanswered,,375740.88,05/18/2021,Retina
5355287010,04/05/2020,459,PPP,RETINA ASSOCIATES OF ALABAMA INC,160 HEALTHWEST DR,DOTHAN,AL,36303-1996,02/23/2021,Paid in Full,24,100,200000.0,200000.0,0.0,,434138,ServisFirst Bank,2500 Woodcrest Place,BIRMINGHAM,AL,35209-1374,R,N,N,Existing or more than 2 years old,DOTHAN,HOUSTON,AL,36303-1996,AL-02,21.0,621111.0,White,Not Hispanic or Latino,2500.0,172500.0,,25000.0,,,,Corporation,434138,ServisFirst Bank,BIRMINGHAM,AL,Male Owned,Non-Veteran,,201538.89,01/19/2021,Retina
1590827106,04/10/2020,459,PPP,"RETINA SPECIALISTS OF ALABAMA IN MONTGOMERY, LLC",2101 HIGHLAND AVE STE 360,BIRMINGHAM,AL,35205-4009,07/20/2021,Paid in Full,24,100,192789.0,192789.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,BIRMINGHAM,JEFFERSON,AL,35205-4009,AL-07,21.0,621111.0,Unanswered,Unknown/NotStated,24098.62,144591.75,,24098.63,,,,Limited  Liability Company(LLC),760,First Source Federal Credit Union,Rome,NY,Unanswered,Unanswered,,195097.11,06/28/2021,Retina
2548388505,02/20/2021,459,PPS,20/20 OPHTHALMIC ASSOCIATES P.C.,2020 Normandie Dr,Montgomery,AL,36111-2734,01/19/2022,Paid in Full,60,100,168737.0,168737.0,0.0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,N,N,Existing or more than 2 years old,Montgomery,MONTGOMERY,AL,36111-2734,AL-02,16.0,621111.0,Unanswered,Unknown/NotStated,1.0,168735.0,,,,,,Corporation,19248,Synovus Bank,COLUMBUS,GA,Unanswered,Unanswered,,170133.13,12/23/2021,Ophthalm
2233727205,04/15/2020,669,PPP,"RETINA ASSOCIATES, P.A.",9800 Baptist Health Drive,Little Rock,AR,72205,03/05/2021,Paid in Full,24,100,628500.0,628500.0,0.0,,4679,Simmons Bank,501 Main St,PINE BLUFF,AR,71601-4327,U,Y,Y,Unanswered,Little Rock,PULASKI,AR,72205-0001,AR-02,52.0,621111.0,Unanswered,Unknown/NotStated,0.0,628500.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,4679,Simmons Bank,PINE BLUFF,AR,Unanswered,Unanswered,,633493.08,02/11/2021,Retina
4932217007,04/04/2020,669,PPP,"NORTHWEST ARKANSAS RETINA ASSOCIATES, PA",5501 WILLOW CREEK DR,SPRINGDALE,AR,72762-8704,02/06/2021,Paid in Full,24,100,289800.0,289800.0,0.0,,4754,First Security Bank,314 N Spring St,Searcy,AR,72143,U,N,N,Existing or more than 2 years old,SPRINGDALE,WASHINGTON,AR,72762-8704,AR-03,31.0,621111.0,Unanswered,Unknown/NotStated,,289800.0,,,,,,Subchapter S Corporation,4754,First Security Bank,Searcy,AR,Unanswered,Unanswered,,291997.65,01/07/2021,Retina
4172047305,04/29/2020,669,PPP,CENTRAL ARKANSAS OPHTHALMOLOGY,5300 W Markham,Little Rock,AR,72205-3528,01/13/2021,Paid in Full,24,100,224000.0,224000.0,0.0,,2408,Regions Bank,1900 Fifth Avenue North,BIRMINGHAM,AL,35203,U,N,N,Existing or more than 2 years old,Little Rock,PULASKI,AR,72205-3528,AR-02,17.0,621111.0,American Indian or Alaska Native,Not Hispanic or Latino,,224000.0,,,,,,Corporation,2408,Regions Bank,BIRMINGHAM,AL,Unanswered,Unanswered,,225238.14,02/12/2021,Ophthalm
8293508302,01/29/2021,669,PPS,CENTRAL ARKANSAS OPHTHALMOLOGY,5300 W Markham St,Little Rock,AR,72205-3528,11/06/2021,Paid in Full,60,100,187227.0,187227.0,0.0,,2408,Regions Bank,1900 Fifth Avenue North,BIRMINGHAM,AL,35203,U,N,N,Existing or more than 2 years old,Little Rock,PULASKI,AR,72205-3528,AR-02,19.0,621111.0,American Indian or Alaska Native,Unknown/NotStated,1.0,187225.0,,,,,,Corporation,2408,Regions Bank,BIRMINGHAM,AL,Male Owned,Non-Veteran,,188452.95,10/06/2021,Ophthalm
1981337207,04/15/2020,669,PPP,"OPHTHALMOLOGY ASSOCIATES OF BENTON, P.L.L.C.","#3 Medical Park Drive, Suite 300",BENTON,AR,72015,05/07/2021,Paid in Full,24,100,154500.0,154500.0,0.0,,4679,Simmons Bank,501 Main St,PINE BLUFF,AR,71601-4327,R,N,N,Unanswered,BENTON,SALINE,AR,72015-0701,AR-02,14.0,621111.0,Unanswered,Unknown/NotStated,,154500.0,,,,,,Subchapter S Corporation,4679,Simmons Bank,PINE BLUFF,AR,Unanswered,Unanswered,,156036.42,04/22/2021,Ophthalm
5124197707,05/01/2020,988,PPP,ASSOCIATED RETINA CONSULTANTS LTD,1750 E Glendale Ave,Phoenix,AZ,85020,06/17/2021,Paid in Full,24,100,2646017.0,2646017.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,Phoenix,MARICOPA,AZ,85020-0001,AZ-01,145.0,621111.0,Unanswered,Unknown/NotStated,,2646017.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,2673999.54,05/26/2021,Retina
